

    speed: 25.555556 m/s; rate of climb: -4.111111 m/s
    thrust: 0.021903 N; Drag: 0.806596 N (CD: 0.026688)
    total power consumption: 8.943881 Wh
    total weight: 4.877818 N; Lift: 4.814288 N (CL: 0.159290)
    wing span: 0.311111 m; wing area: 0.075556 m/s^2; chord: 0.242857 m; aspect ratio: 1.281046
((13.184281030439145, 0.24618096357226793), 25.555555555555557, -4.1111111111111107, 9.1827244182242715, 1584)
((13.207117471007296, 0.22640509013785792), 25.555555555555557, -4.5555555555555554, 9.14310054813844, 1589)
((13.390224150101053, 0.24618096357226793), 25.555555555555557, -4.1111111111111107, 9.3620305831663106, 1585)
((13.626550819800137, 0.24618096357226793), 25.555555555555557, -4.1111111111111107, 9.4175086853223053, 1586)
((14.149668764230833, 0.24618096357226793), 25.555555555555557, -4.1111111111111107, 9.4893116782197477, 1587)
((14.183403071072387, 0.35882352941176471), 18.888888888888889, -2.7777777777777777, 9.3620305831663106, 815)
((14.232539716353608, 0.24618096357226793), 25.555555555555557, -4.1111111111111107, 9.662930457448546, 1588)
((14.253273266200203, 0.2553342816500711), 21.111111111111111, -4.1111111111111107, 9.3231688031730116, 1124)
((14.313019994852192, 0.35263157894736841), 21.111111111111111, -2.7777777777777777, 9.4893116782197477, 1096)
((14.386399132790793, 0.35263157894736841), 21.111111111111111, -2.7777777777777777, 9.4175086853223053, 1089)
((14.4221084434466, 0.2503217503217503), 23.333333333333336, -4.1111111111111107, 9.3231688031730116, 1390)
((14.427032232301697, 0.26152623211446741), 18.888888888888889, -4.1111111111111107, 9.3231688031730116, 832)
((14.496026104202757, 0.35263157894736841), 21.111111111111111, -2.7777777777777777, 9.5770723869547538, 1102)
((14.531948334110337, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.4175086853223053, 1353)
((14.601543421498764, 0.35263157894736841), 21.111111111111111, -2.7777777777777777, 9.5924271556895402, 1090)
((14.606617827155006, 0.35882352941176471), 18.888888888888889, -2.7777777777777777, 9.537966530620162, 816)
((14.700758090579312, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.5924271556895402, 1354)
((14.735616779957949, 0.41596638655462187), 18.888888888888889, -2.333333333333333, 9.4175086853223053, 764)
((14.739155960006887, 0.27075098814229248), 25.555555555555557, -3.6666666666666665, 9.3620305831663106, 1564)
((14.765540695534288, 0.35263157894736841), 21.111111111111111, -2.7777777777777777, 9.6803568102545476, 1108)
((14.802052285878103, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.4893116782197477, 1357)
((14.807740279460821, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.3620305831663106, 1345)
((14.824605574686688, 0.35263157894736841), 21.111111111111111, -2.7777777777777777, 9.7642125968405242, 1091)
((14.861501428363386, 0.24618096357226793), 25.555555555555557, -4.1111111111111107, 9.3231688031730116, 1583)
((14.866926429293954, 0.2553342816500711), 21.111111111111111, -4.1111111111111107, 9.4998244947760764, 1125)
((14.875780481288519, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.7642125968405242, 1355)
((14.915558832003983, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.662930457448546, 1358)
((14.969206963023979, 0.2503217503217503), 23.333333333333336, -4.1111111111111107, 9.4998244947760764, 1391)
((14.975380523495801, 0.27075098814229248), 25.555555555555557, -3.6666666666666665, 9.537966530620162, 1565)
((14.993848476042267, 0.27075098814229248), 25.555555555555557, -3.6666666666666665, 9.4175086853223053, 1569)
((15.019727927294893, 0.41596638655462187), 18.888888888888889, -2.333333333333333, 9.5924271556895402, 765)
((15.033180875104188, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.8334843226892783, 1359)
((15.04558967295543, 0.35882352941176471), 18.888888888888889, -2.7777777777777777, 9.7107154442048937, 817)
((15.049647836815119, 0.26936936936936939), 16.666666666666668, -4.1111111111111107, 9.3231688031730116, 549)
((15.057015506237947, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.9330275613927608, 1356)
((15.063014986250479, 0.35263157894736841), 21.111111111111111, -2.7777777777777777, 9.798674070148925, 1112)
((15.100724462713249, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.537966530620162, 1346)
((15.124724435530821, 0.26152623211446741), 18.888888888888889, -4.1111111111111107, 9.4998244947760764, 833)
((15.12995483711568, 0.27075098814229248), 25.555555555555557, -3.6666666666666665, 9.5924271556895402, 1570)
((15.154918415178727, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 10.001130077329504, 1360)
((15.205530250514139, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.5770723869547538, 1361)
((15.2204001764445, 0.27075098814229248), 25.555555555555557, -3.6666666666666665, 9.7107154442048937, 1566)
((15.271070263167356, 0.27075098814229248), 25.555555555555557, -3.6666666666666665, 9.7642125968405242, 1571)
((15.289870393953446, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.7491283920184504, 1362)
((15.298725473498374, 0.35263157894736841), 21.111111111111111, -2.7777777777777777, 9.3620305831663106, 1079)
((15.314295097310236, 0.41596638655462187), 18.888888888888889, -2.333333333333333, 9.7642125968405242, 766)
((15.367418180831438, 0.35263157894736841), 21.111111111111111, -2.7777777777777777, 9.9314869069275371, 1115)
((15.377213730470046, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.9182001040082532, 1363)
((15.404617003944825, 0.30623973727421999), 23.333333333333336, -3.2222222222222223, 9.7107154442048937, 1347)
